Image_Index,True_Label,Predicted_Label,U,FM1,FM2,FM3,C
0,6,6,2.0,0.9,0.1,0.0,True
1,4,4,1.0,1.0,0.0,0.0,True
2,7,7,4.0,0.6,0.2,0.1,True
3,1,5,5.0,0.4,0.3,0.1,False
4,7,4,6.0,0.4,0.2,0.1,False
5,3,7,4.0,0.5,0.2,0.2,False
6,4,4,1.0,1.0,0.0,0.0,True
7,6,6,2.0,0.9,0.1,0.0,True
8,1,1,1.0,1.0,0.0,0.0,True
9,6,6,1.0,1.0,0.0,0.0,True
10,0,0,4.0,0.4,0.3,0.2,True
11,7,7,1.0,1.0,0.0,0.0,True
12,2,6,3.0,0.4,0.3,0.3,False
13,0,0,1.0,1.0,0.0,0.0,True
14,3,3,1.0,1.0,0.0,0.0,True
15,7,9,4.0,0.7,0.1,0.1,False
16,1,1,1.0,1.0,0.0,0.0,True
17,7,9,2.0,0.5,0.5,0.0,False
18,5,5,1.0,1.0,0.0,0.0,True
19,1,1,1.0,1.0,0.0,0.0,True
20,6,6,4.0,0.5,0.2,0.2,True
21,2,2,1.0,1.0,0.0,0.0,True
22,7,9,2.0,0.9,0.1,0.0,False
23,2,2,1.0,1.0,0.0,0.0,True
24,3,3,1.0,1.0,0.0,0.0,True
25,8,8,3.0,0.7,0.2,0.1,True
26,0,0,1.0,1.0,0.0,0.0,True
27,6,6,1.0,1.0,0.0,0.0,True
28,1,1,1.0,1.0,0.0,0.0,True
29,3,3,2.0,0.6,0.4,0.0,True
30,5,5,3.0,0.6,0.3,0.1,True
31,7,7,1.0,1.0,0.0,0.0,True
32,1,1,2.0,0.9,0.1,0.0,True
33,8,4,4.0,0.5,0.3,0.1,False
34,7,7,2.0,0.6,0.4,0.0,True
35,0,2,3.0,0.4,0.4,0.2,False
36,6,6,2.0,0.9,0.1,0.0,True
37,4,1,4.0,0.5,0.2,0.2,False
38,8,8,1.0,1.0,0.0,0.0,True
39,3,5,4.0,0.5,0.3,0.1,False
40,1,1,1.0,1.0,0.0,0.0,True
41,9,9,3.0,0.7,0.2,0.1,True
42,1,1,3.0,0.8,0.1,0.1,True
43,2,2,2.0,0.8,0.2,0.0,True
44,2,2,4.0,0.5,0.3,0.1,True
45,6,6,2.0,0.9,0.1,0.0,True
46,0,0,1.0,1.0,0.0,0.0,True
47,6,6,1.0,1.0,0.0,0.0,True
48,4,4,1.0,1.0,0.0,0.0,True
49,5,5,4.0,0.5,0.2,0.2,True
50,1,1,1.0,1.0,0.0,0.0,True
51,3,3,2.0,0.9,0.1,0.0,True
52,2,2,3.0,0.8,0.1,0.1,True
53,6,6,2.0,0.8,0.2,0.0,True
54,4,4,3.0,0.7,0.2,0.1,True
55,0,0,1.0,1.0,0.0,0.0,True
56,8,8,3.0,0.7,0.2,0.1,True
57,2,2,2.0,0.7,0.3,0.0,True
58,0,0,1.0,1.0,0.0,0.0,True
59,3,3,2.0,0.9,0.1,0.0,True
60,5,5,5.0,0.4,0.3,0.1,True
61,1,1,1.0,1.0,0.0,0.0,True
62,9,9,3.0,0.8,0.1,0.1,True
63,0,0,4.0,0.6,0.2,0.1,True
64,2,2,2.0,0.6,0.4,0.0,True
65,9,9,2.0,0.9,0.1,0.0,True
66,2,2,1.0,1.0,0.0,0.0,True
67,8,5,6.0,0.3,0.2,0.2,False
68,6,6,1.0,1.0,0.0,0.0,True
69,5,5,4.0,0.5,0.2,0.2,True
70,0,0,1.0,1.0,0.0,0.0,True
71,9,9,4.0,0.6,0.2,0.1,True
72,7,9,4.0,0.6,0.2,0.1,False
73,2,2,2.0,0.9,0.1,0.0,True
74,7,7,4.0,0.4,0.4,0.1,True
75,9,9,3.0,0.6,0.2,0.2,True
76,9,9,2.0,0.7,0.3,0.0,True
77,0,0,1.0,1.0,0.0,0.0,True
78,3,2,5.0,0.4,0.2,0.2,False
79,1,1,3.0,0.8,0.1,0.1,True
80,4,4,1.0,1.0,0.0,0.0,True
81,2,2,4.0,0.7,0.1,0.1,True
82,0,0,1.0,1.0,0.0,0.0,True
83,7,7,5.0,0.3,0.3,0.2,True
84,8,8,2.0,0.8,0.2,0.0,True
85,4,4,1.0,1.0,0.0,0.0,True
86,2,2,2.0,0.9,0.1,0.0,True
87,0,0,2.0,0.9,0.1,0.0,True
88,7,7,2.0,0.8,0.2,0.0,True
89,7,9,1.0,1.0,0.0,0.0,False
90,0,0,1.0,1.0,0.0,0.0,True
91,8,8,2.0,0.9,0.1,0.0,True
92,1,1,1.0,1.0,0.0,0.0,True
93,3,5,4.0,0.4,0.3,0.2,False
94,5,6,3.0,0.6,0.3,0.1,False
95,7,7,2.0,0.7,0.3,0.0,True
96,8,8,3.0,0.7,0.2,0.1,True
97,1,1,1.0,1.0,0.0,0.0,True
98,1,1,1.0,1.0,0.0,0.0,True
99,2,2,5.0,0.3,0.2,0.2,True
100,8,8,3.0,0.6,0.3,0.1,True
101,2,2,1.0,1.0,0.0,0.0,True
102,9,9,3.0,0.6,0.3,0.1,True
103,8,8,5.0,0.4,0.3,0.1,True
104,7,7,1.0,1.0,0.0,0.0,True
105,2,6,3.0,0.8,0.1,0.1,False
106,9,9,3.0,0.5,0.3,0.2,True
107,4,9,2.0,0.5,0.5,0.0,False
108,8,8,2.0,0.8,0.2,0.0,True
109,4,4,1.0,1.0,0.0,0.0,True
110,7,7,1.0,1.0,0.0,0.0,True
111,7,7,1.0,1.0,0.0,0.0,True
112,5,6,3.0,0.5,0.4,0.1,False
113,0,0,1.0,1.0,0.0,0.0,True
114,1,1,1.0,1.0,0.0,0.0,True
115,3,1,6.0,0.3,0.3,0.1,False
116,9,9,2.0,0.8,0.2,0.0,True
117,8,8,2.0,0.9,0.1,0.0,True
118,7,7,2.0,0.7,0.3,0.0,True
119,7,3,5.0,0.5,0.2,0.1,False
120,0,0,1.0,1.0,0.0,0.0,True
121,8,8,3.0,0.8,0.1,0.1,True
122,4,4,1.0,1.0,0.0,0.0,True
123,0,0,1.0,1.0,0.0,0.0,True
124,8,4,4.0,0.3,0.3,0.3,False
125,5,5,4.0,0.5,0.3,0.1,True
126,2,2,1.0,1.0,0.0,0.0,True
127,3,3,3.0,0.8,0.1,0.1,True
128,6,6,2.0,0.9,0.1,0.0,True
129,6,6,2.0,0.9,0.1,0.0,True
130,1,1,1.0,1.0,0.0,0.0,True
131,0,0,1.0,1.0,0.0,0.0,True
132,7,9,2.0,0.5,0.5,0.0,False
133,9,9,2.0,0.8,0.2,0.0,True
134,2,2,2.0,0.9,0.1,0.0,True
135,7,7,2.0,0.9,0.1,0.0,True
136,9,9,2.0,0.9,0.1,0.0,True
137,1,1,3.0,0.8,0.1,0.1,True
138,9,9,1.0,1.0,0.0,0.0,True
139,6,6,1.0,1.0,0.0,0.0,True
140,4,4,2.0,0.6,0.4,0.0,True
141,8,8,1.0,1.0,0.0,0.0,True
142,4,9,2.0,0.8,0.2,0.0,False
143,5,3,4.0,0.6,0.2,0.1,False
144,1,1,3.0,0.7,0.2,0.1,True
145,6,6,3.0,0.8,0.1,0.1,True
146,3,3,1.0,1.0,0.0,0.0,True
147,2,5,5.0,0.3,0.3,0.2,False
148,3,3,3.0,0.8,0.1,0.1,True
149,6,6,1.0,1.0,0.0,0.0,True
150,7,7,2.0,0.9,0.1,0.0,True
151,0,0,1.0,1.0,0.0,0.0,True
152,7,7,2.0,0.9,0.1,0.0,True
153,8,8,2.0,0.8,0.2,0.0,True
154,6,6,3.0,0.6,0.3,0.1,True
155,3,3,3.0,0.8,0.1,0.1,True
156,6,6,2.0,0.9,0.1,0.0,True
157,4,4,2.0,0.9,0.1,0.0,True
158,3,3,3.0,0.7,0.2,0.1,True
159,4,4,2.0,0.9,0.1,0.0,True
160,7,7,1.0,1.0,0.0,0.0,True
161,9,9,2.0,0.9,0.1,0.0,True
162,8,8,4.0,0.6,0.2,0.1,True
163,5,5,2.0,0.9,0.1,0.0,True
164,5,5,3.0,0.6,0.3,0.1,True
165,4,4,2.0,0.9,0.1,0.0,True
166,1,1,1.0,1.0,0.0,0.0,True
167,2,2,1.0,1.0,0.0,0.0,True
168,8,8,1.0,1.0,0.0,0.0,True
169,4,4,1.0,1.0,0.0,0.0,True
170,2,2,1.0,1.0,0.0,0.0,True
171,1,1,3.0,0.8,0.1,0.1,True
172,9,9,2.0,0.9,0.1,0.0,True
173,1,1,1.0,1.0,0.0,0.0,True
174,7,7,3.0,0.7,0.2,0.1,True
175,3,3,2.0,0.9,0.1,0.0,True
176,3,3,2.0,0.8,0.2,0.0,True
177,5,5,2.0,0.9,0.1,0.0,True
178,6,6,2.0,0.9,0.1,0.0,True
179,0,0,2.0,0.7,0.3,0.0,True
180,9,9,2.0,0.9,0.1,0.0,True
181,6,6,2.0,0.8,0.2,0.0,True
182,7,7,3.0,0.8,0.1,0.1,True
183,4,4,2.0,0.8,0.2,0.0,True
184,1,1,1.0,1.0,0.0,0.0,True
185,2,2,2.0,0.9,0.1,0.0,True
186,1,1,2.0,0.9,0.1,0.0,True
187,8,8,2.0,0.9,0.1,0.0,True
188,8,8,2.0,0.6,0.4,0.0,True
189,2,2,1.0,1.0,0.0,0.0,True
190,8,8,4.0,0.5,0.2,0.2,True
191,3,3,2.0,0.9,0.1,0.0,True
192,3,3,7.0,0.4,0.1,0.1,True
193,8,3,4.0,0.5,0.3,0.1,False
194,8,8,3.0,0.6,0.3,0.1,True
195,9,9,2.0,0.9,0.1,0.0,True
196,2,2,1.0,1.0,0.0,0.0,True
197,8,1,3.0,0.5,0.4,0.1,False
198,6,6,3.0,0.8,0.1,0.1,True
199,5,5,1.0,1.0,0.0,0.0,True
200,3,3,3.0,0.8,0.1,0.1,True
201,9,9,1.0,1.0,0.0,0.0,True
202,2,2,1.0,1.0,0.0,0.0,True
203,4,4,3.0,0.8,0.1,0.1,True
204,1,1,2.0,0.9,0.1,0.0,True
205,9,9,4.0,0.7,0.1,0.1,True
206,6,6,2.0,0.9,0.1,0.0,True
207,1,1,3.0,0.8,0.1,0.1,True
208,7,7,2.0,0.8,0.2,0.0,True
209,7,7,3.0,0.8,0.1,0.1,True
210,4,2,4.0,0.7,0.1,0.1,False
211,5,9,3.0,0.8,0.1,0.1,False
212,3,3,3.0,0.4,0.3,0.3,True
213,3,3,1.0,1.0,0.0,0.0,True
214,6,6,2.0,0.9,0.1,0.0,True
215,4,4,2.0,0.8,0.2,0.0,True
216,2,2,3.0,0.8,0.1,0.1,True
217,4,4,2.0,0.7,0.3,0.0,True
218,0,0,3.0,0.8,0.1,0.1,True
219,8,8,2.0,0.8,0.2,0.0,True
220,0,0,1.0,1.0,0.0,0.0,True
221,7,7,1.0,1.0,0.0,0.0,True
222,6,6,2.0,0.9,0.1,0.0,True
223,1,1,4.0,0.5,0.3,0.1,True
224,5,5,2.0,0.9,0.1,0.0,True
225,7,7,2.0,0.9,0.1,0.0,True
226,1,1,2.0,0.9,0.1,0.0,True
227,2,2,1.0,1.0,0.0,0.0,True
228,7,7,2.0,0.7,0.3,0.0,True
229,2,2,2.0,0.9,0.1,0.0,True
230,9,9,4.0,0.7,0.1,0.1,True
231,0,0,2.0,0.9,0.1,0.0,True
232,1,1,1.0,1.0,0.0,0.0,True
233,9,4,3.0,0.5,0.4,0.1,False
234,0,0,3.0,0.7,0.2,0.1,True
235,5,3,2.0,0.9,0.1,0.0,False
236,4,4,2.0,0.7,0.3,0.0,True
237,8,8,2.0,0.7,0.3,0.0,True
238,9,9,1.0,1.0,0.0,0.0,True
239,4,4,2.0,0.9,0.1,0.0,True
240,7,7,2.0,0.9,0.1,0.0,True
241,8,8,2.0,0.9,0.1,0.0,True
242,2,4,4.0,0.4,0.2,0.2,False
243,1,4,4.0,0.6,0.2,0.1,False
244,3,3,3.0,0.7,0.2,0.1,True
245,8,8,3.0,0.6,0.3,0.1,True
246,9,9,1.0,1.0,0.0,0.0,True
247,7,7,2.0,0.8,0.2,0.0,True
248,1,1,2.0,0.9,0.1,0.0,True
249,3,8,3.0,0.4,0.3,0.3,False
250,4,4,2.0,0.9,0.1,0.0,True
251,9,9,1.0,1.0,0.0,0.0,True
252,9,9,2.0,0.8,0.2,0.0,True
253,5,1,5.0,0.4,0.2,0.2,False
254,1,1,2.0,0.9,0.1,0.0,True
255,5,5,2.0,0.8,0.2,0.0,True
256,4,4,2.0,0.7,0.3,0.0,True
